"destination","prefix","rate","initial","additional","effective"
"RUSSIA OTHER","7","0.01428600","1","1","2015-05-01 00:00:00"
"EGYPT","20","0.05857100","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA","27","0.01714300","1","1","2015-05-01 00:00:00"
"GREECE R.O.C","30","0.00585700","1","1","2015-05-01 00:00:00"
"NETHERLANDS","31","0.00585700","1","1","2015-05-01 00:00:00"
"BELGIUM","32","0.01300000","1","1","2015-05-01 00:00:00"
"FRANCE","33","0.00571400","1","1","2015-05-01 00:00:00"
"SPAIN R.O.C","34","0.00500000","1","1","2015-05-01 00:00:00"
"HUNGARY-ROC-FIXED","36","0.00428600","1","1","2015-05-01 00:00:00"
"ITALY","39","0.00414300","1","1","2015-05-01 00:00:00"
"ROMANIA-ROC-FIXED","40","0.00428600","1","1","2015-05-01 00:00:00"
"SWITZERLAND R.O.C","41","0.01171400","1","1","2015-05-01 00:00:00"
"AUSTRIA","43","0.00500000","1","1","2015-05-01 00:00:00"
"U.K.-ROC-FIXED","44","0.00285700","1","1","2015-05-01 00:00:00"
"DENMARK OTHER","45","0.00585700","1","1","2015-05-01 00:00:00"
"SWEDEN","46","0.00271400","1","1","2015-05-01 00:00:00"
"NORWAY OTHER","47","0.00885700","1","1","2015-05-01 00:00:00"
"POLAND","48","0.01057100","1","1","2015-05-01 00:00:00"
"GERMANY","49","0.00614300","1","1","2015-05-01 00:00:00"
"PERU R.O.C","51","0.01357100","1","1","2015-05-01 00:00:00"
"MEXICO-ROC-FIXED","52","0.00371400","60","60","2015-05-01 00:00:00"
"CUBA OTHER","53","0.80714300","1","1","2015-05-01 00:00:00"
"ARGENTINA","54","0.02500000","1","1","2015-05-01 00:00:00"
"BRAZIL OTHER","55","0.01157100","1","1","2015-05-01 00:00:00"
"CHILE OTHER","56","0.01742900","1","1","2015-05-01 00:00:00"
"COLOMBIA OTHER","57","0.03714300","1","1","2015-05-01 00:00:00"
"VENEZUELA","58","0.02285700","1","1","2015-05-01 00:00:00"
"MALAYSIA OTHER","60","0.01200000","1","1","2015-05-01 00:00:00"
"AUSTRALIA OTHER","61","0.01157100","1","1","2015-05-01 00:00:00"
"INDONESIA R.O.C","62","0.07371400","1","1","2015-05-01 00:00:00"
"PHILIPPINES","63","0.11785700","1","1","2015-05-01 00:00:00"
"NEW ZEALAND","64","0.01142900","1","1","2015-05-01 00:00:00"
"SINGAPORE","65","0.00600000","1","1","2015-05-01 00:00:00"
"THAILAND OTHER","66","0.00842900","1","1","2015-05-01 00:00:00"
"RUSSIA MOBILE","79","0.05714300","1","1","2015-05-01 00:00:00"
"JAPAN OTHER","81","0.02028600","1","1","2015-05-01 00:00:00"
"SOUTH KOREA","82","0.00971400","1","1","2015-05-01 00:00:00"
"VIETNAM","84","0.05142900","1","1","2015-05-01 00:00:00"
"CHINA","86","0.00642900","1","1","2015-05-01 00:00:00"
"TURKEY","90","0.03428600","1","1","2015-05-01 00:00:00"
"INDIA","91","0.01314300","1","1","2015-05-01 00:00:00"
"PAKISTAN","92","0.03928600","1","1","2015-05-01 00:00:00"
"AFGHANISTAN OTHER","93","0.22857100","1","1","2015-05-01 00:00:00"
"SRI LANKA","94","0.14000000","1","1","2015-05-01 00:00:00"
"MYANMAR","95","0.11714300","1","1","2015-05-01 00:00:00"
"IRAN","98","0.11214300","1","1","2015-05-01 00:00:00"
"EGYPT CAIRO","202","0.09571400","1","1","2015-05-01 00:00:00"
"SOUTH SUDAN","211","0.35857100","1","1","2015-05-01 00:00:00"
"MOROCCO","212","0.01714300","1","1","2015-05-01 00:00:00"
"ALGERIA","213","0.05571400","1","1","2015-05-01 00:00:00"
"TUNISIA","216","0.47142900","1","1","2015-05-01 00:00:00"
"LIBYA OTHER","218","0.22514300","1","1","2015-05-01 00:00:00"
"GAMBIA","220","0.54214300","1","1","2015-05-01 00:00:00"
"SENEGAL","221","0.17014300","1","1","2015-05-01 00:00:00"
"MAURITANIA OTHER","222","0.49542900","1","1","2015-05-01 00:00:00"
"MALI OTHER","223","0.22428600","1","1","2015-05-01 00:00:00"
"GUINEA","224","0.46428600","1","1","2015-05-01 00:00:00"
"IVORY COAST OTHER","225","0.20214300","1","1","2015-05-01 00:00:00"
"BURKINA FASO OTHER","226","0.19157100","1","1","2015-05-01 00:00:00"
"NIGER","227","0.27428600","1","1","2015-05-01 00:00:00"
"TOGO OTHER","228","0.31242900","1","1","2015-05-01 00:00:00"
"BENIN OTHER","229","0.22271400","1","1","2015-05-01 00:00:00"
"MAURITIUS ISLAND OTHER","230","0.15642900","1","1","2015-05-01 00:00:00"
"LIBERIA","231","0.45000000","1","1","2015-05-01 00:00:00"
"SIERRA LEO","232","0.51428600","1","1","2015-05-01 00:00:00"
"GHANA","233","0.25428600","1","1","2015-05-01 00:00:00"
"NIGERIA OTHER","234","0.05042900","1","1","2015-05-01 00:00:00"
"CHAD","235","0.31428600","1","1","2015-05-01 00:00:00"
"CTRL AFRICAN REP","236","0.32571400","1","1","2015-05-01 00:00:00"
"CAMEROON OTHER","237","0.12100000","1","1","2015-05-01 00:00:00"
"CAPE VERDE","238","0.20914300","1","1","2015-05-01 00:00:00"
"SAO TOME","239","1.11785700","1","1","2015-05-01 00:00:00"
"EQUATORIAL GUINEA","240","0.24085700","1","1","2015-05-01 00:00:00"
"GABON OTHER","241","0.44085700","1","1","2015-05-01 00:00:00"
"CONGO OTHER","242","0.45728600","1","1","2015-05-01 00:00:00"
"DEM. REP. OF CONGO OTHER","243","0.25042900","1","1","2015-05-01 00:00:00"
"ANGOLA OTHER","244","0.06757100","1","1","2015-05-01 00:00:00"
"GUINEA BISSAU","245","0.37285700","1","1","2015-05-01 00:00:00"
"DIEGO GARCIA","246","1.25714300","1","1","2015-05-01 00:00:00"
"ASCENSION ISL","247","0.84442900","1","1","2015-05-01 00:00:00"
"SEYCHELLES OTHER","248","0.48871400","1","1","2015-05-01 00:00:00"
"SUDAN","249","0.16328600","1","1","2015-05-01 00:00:00"
"RWANDA-ROC-FIXED","250","0.32000000","1","1","2015-05-01 00:00:00"
"ETHIOPIA OTHER","251","0.27257100","1","1","2015-05-01 00:00:00"
"SOMALIA OTHER","252","0.50414300","1","1","2015-05-01 00:00:00"
"DJIBOUTI ALL COUNTRY","253","0.30971400","1","1","2015-05-01 00:00:00"
"KENYA","254","0.14571400","1","1","2015-05-01 00:00:00"
"TANZANIA","255","0.34000000","1","1","2015-05-01 00:00:00"
"UGANDA OTHER","256","0.20271400","1","1","2015-05-01 00:00:00"
"BURUNDI OTHER","257","0.47371400","1","1","2015-05-01 00:00:00"
"MOZAMBIQUE OTHER","258","0.06214300","1","1","2015-05-01 00:00:00"
"ZAMBIA OTHER","260","0.07971400","1","1","2015-05-01 00:00:00"
"MADAGASCAR OTHER","261","0.63328600","1","1","2015-05-01 00:00:00"
"REUNION ISLAND OTHER","262","0.01357100","1","1","2015-05-01 00:00:00"
"ZIMBABWE OTHER","263","0.10642900","1","1","2015-05-01 00:00:00"
"NAMIBIA OTHER","264","0.04100000","1","1","2015-05-01 00:00:00"
"MALAWI OTHER","265","0.35842900","1","1","2015-05-01 00:00:00"
"LESOTHO","266","0.21000000","1","1","2015-05-01 00:00:00"
"BOTSWANA OTHER","267","0.05785700","1","1","2015-05-01 00:00:00"
"SWAZILAND","268","0.03600000","1","1","2015-05-01 00:00:00"
"COMOROS OTHER","269","0.24500000","1","1","2015-05-01 00:00:00"
"ST. HELENA","290","1.17142900","1","1","2015-05-01 00:00:00"
"ERITREA","291","0.22428600","1","1","2015-05-01 00:00:00"
"ARUBA OTHER","297","0.09985700","1","1","2015-05-01 00:00:00"
"FAEROE ISLANDS","298","0.04285700","1","1","2015-05-01 00:00:00"
"GREENLAND","299","0.37142900","1","1","2015-05-01 00:00:00"
"NETHERLANDS-OTHER-MOBILE","316","0.03571400","1","1","2015-05-01 00:00:00"
"BELGIUM BRUSSELS","322","0.01300000","1","1","2015-05-01 00:00:00"
"FRANCE PARIS","331","0.00571400","1","1","2015-05-01 00:00:00"
"FRANCE - MOBILE","336","0.02857100","1","1","2015-05-01 00:00:00"
"FRANCE - MOBILE","337","0.02857100","1","1","2015-05-01 00:00:00"
"FRANCE-PREMIUM","338","0.03285700","1","1","2015-05-01 00:00:00"
"FRANCE-CLEC","339","0.00571400","1","1","2015-05-01 00:00:00"
"GIBRALTAR","350","0.02857100","1","1","2015-05-01 00:00:00"
"PORTUGAL","351","0.00314300","1","1","2015-05-01 00:00:00"
"LUXEMBOURG OTHER","352","0.01214300","1","1","2015-05-01 00:00:00"
"IRELAND","353","0.00485700","1","1","2015-05-01 00:00:00"
"ICELAND OTHER","354","0.01428600","1","1","2015-05-01 00:00:00"
"ALBANIA","355","0.15000000","1","1","2015-05-01 00:00:00"
"MALTA OTHER","356","0.00742900","1","1","2015-05-01 00:00:00"
"CYPRUS (GREECE) R.O.C","357","0.00571400","1","1","2015-05-01 00:00:00"
"FINLAND OTHER","358","0.02214300","1","1","2015-05-01 00:00:00"
"BULGARIA OTHER","359","0.00700000","1","1","2015-05-01 00:00:00"
"HUNGARY-BUDAPEST-FIXED","361","0.00428600","1","1","2015-05-01 00:00:00"
"LITHUANIA OTHER","370","0.01357100","1","1","2015-05-01 00:00:00"
"LATVIA","371","0.00857100","1","1","2015-05-01 00:00:00"
"ESTONIA","372","0.02085700","1","1","2015-05-01 00:00:00"
"MOLDOVA OTHER","373","0.32857100","1","1","2015-05-01 00:00:00"
"ARMENIA","374","0.21000000","1","1","2015-05-01 00:00:00"
"BELARUS OTHER","375","0.29228600","1","1","2015-05-01 00:00:00"
"ANDORRA","376","0.01428600","1","1","2015-05-01 00:00:00"
"MONACO","377","0.07142900","1","1","2015-05-01 00:00:00"
"SAN MARINO OTHER","378","0.01700000","1","1","2015-05-01 00:00:00"
"VATICAN","379","0.00542900","1","1","2015-05-01 00:00:00"
"UKRAINE","380","0.13142900","1","1","2015-05-01 00:00:00"
"SERBIA OTHER","381","0.11157100","1","1","2015-05-01 00:00:00"
"MONTENEGRO OTHER","382","0.12314300","1","1","2015-05-01 00:00:00"
"CROATIA","385","0.12214300","1","1","2015-05-01 00:00:00"
"SLOVENIA R.O.C","386","0.01014300","1","1","2015-05-01 00:00:00"
"BOSNIA & HERZEGOVINA OTHER","387","0.10171400","1","1","2015-05-01 00:00:00"
"MACEDONIA OTHER","389","0.15200000","1","1","2015-05-01 00:00:00"
"ROMANIA - LOCAL OTHER OPERATORS","403","0.00542900","1","1","2015-05-01 00:00:00"
"CZECH REP","420","0.01857100","1","1","2015-05-01 00:00:00"
"SLOVAKIA OTHER","421","0.00628600","1","1","2015-05-01 00:00:00"
"LIECHTENSTEIN OTHER","423","0.08200000","1","1","2015-05-01 00:00:00"
"AUSTRIA VIENNA","431","0.00500000","1","1","2015-05-01 00:00:00"
"UK O3","443","0.01414300","1","1","2015-05-01 00:00:00"
"DENMARK - MOBILE - OTHER","452","0.01428600","1","1","2015-05-01 00:00:00"
"SWEDEN STOCKHOLM","468","0.00271400","1","1","2015-05-01 00:00:00"
"NORWAY - SPECIAL SERVICES","470","0.09442900","1","1","2015-05-01 00:00:00"
"NORWAY MOBILE","474","0.03042900","1","1","2015-05-01 00:00:00"
"NORWAY MOBILE","479","0.03042900","1","1","2015-05-01 00:00:00"
"FALKLAND ISL","500","0.95714300","1","1","2015-05-01 00:00:00"
"BELIZE","501","0.24500000","1","1","2015-05-01 00:00:00"
"GUATEMALA OTHER","502","0.13042900","1","1","2015-05-01 00:00:00"
"EL SALVADOR OTHER","503","0.16700000","1","1","2015-05-01 00:00:00"
"HONDURAS","504","0.14285700","1","1","2015-05-01 00:00:00"
"NICARAGUA OTHER","505","0.13700000","1","1","2015-05-01 00:00:00"
"COSTA RICA","506","0.01428600","1","1","2015-05-01 00:00:00"
"PANAMA","507","0.02785700","1","1","2015-05-01 00:00:00"
"ST. PIERRE & MIQUELON OTHER","508","0.22114300","1","1","2015-05-01 00:00:00"
"HAITI OTHER","509","0.28714300","1","1","2015-05-01 00:00:00"
"PERU LIMA","511","0.00828600","1","1","2015-05-01 00:00:00"
"PERU-MOB OTHER","519","0.07000000","1","1","2015-05-01 00:00:00"
"MEXICO-M NEA CITIES","521","0.02428600","60","60","2015-05-01 00:00:00"
"ARGENTINA-MOBILE","549","0.09785700","1","1","2015-05-01 00:00:00"
"CHILE SANTIAGO","562","0.01271400","1","1","2015-05-01 00:00:00"
"CHILE-M","569","0.01285700","1","1","2015-05-01 00:00:00"
"GUADELOUPE OTHER","590","0.00742900","1","1","2015-05-01 00:00:00"
"BOLIVIA","591","0.18571400","1","1","2015-05-01 00:00:00"
"GUYANA OTHER","592","0.21585700","1","1","2015-05-01 00:00:00"
"ECUADOR OTHER","593","0.12428600","1","1","2015-05-01 00:00:00"
"FRENCH GUIANA","594","0.01428600","1","1","2015-05-01 00:00:00"
"PARAGUAY OTHER","595","0.03128600","1","1","2015-05-01 00:00:00"
"MARTINIQUE OTHER","596","0.01057100","1","1","2015-05-01 00:00:00"
"SURINAME","597","0.11428600","1","1","2015-05-01 00:00:00"
"URUGUAY OTHER","598","0.05800000","1","1","2015-05-01 00:00:00"
"NETHERLANDS ANTILLES OTHER","599","0.10642900","1","1","2015-05-01 00:00:00"
"MALAYSIA-M OTHR","601","0.01700000","1","1","2015-05-01 00:00:00"
"AUSTRALIA MOBILE","614","0.04014300","1","1","2015-05-01 00:00:00"
"INDONESIA MOBILE","628","0.06142900","1","1","2015-05-01 00:00:00"
"NEW ZEALAND - MOBILE","642","0.04285700","1","1","2015-05-01 00:00:00"
"NEW ZEALAND WELLING","644","0.01142900","1","1","2015-05-01 00:00:00"
"NEW ZEALAND AUCKLAND","649","0.01142900","1","1","2015-05-01 00:00:00"
"SINGAPORE-M","658","0.00600000","1","1","2015-05-01 00:00:00"
"SINGAPORE-M","659","0.00600000","1","1","2015-05-01 00:00:00"
"THAILAND BANGKOK","662","0.00757100","1","1","2015-05-01 00:00:00"
"THAILAND-M","668","0.00857100","1","1","2015-05-01 00:00:00"
"THAILAND-M","669","0.00857100","1","1","2015-05-01 00:00:00"
"EAST TIMOR","670","0.74285700","1","1","2015-05-01 00:00:00"
"AUSTRALIA TERRITORIES ALL COUNTRY","672","1.41428600","1","1","2015-05-01 00:00:00"
"BRUNEI DARUSSALAM","673","0.03328600","1","1","2015-05-01 00:00:00"
"NAURU-ROC-FIXED","674","1.08571400","1","1","2015-05-01 00:00:00"
"PAPUA N GUINE","675","0.61428600","1","1","2015-05-01 00:00:00"
"TONGA","676","0.59000000","1","1","2015-05-01 00:00:00"
"SOLOMON ISLANDS ALL COUNTRY","677","1.10000000","1","1","2015-05-01 00:00:00"
"VANUATU","678","0.57142900","1","1","2015-05-01 00:00:00"
"FIJI OTHER","679","0.17414300","1","1","2015-05-01 00:00:00"
"PALAU","680","0.26500000","1","1","2015-05-01 00:00:00"
"WALLIS AND FUTUNA","681","0.41100000","1","1","2015-05-01 00:00:00"
"COOK ISL","682","0.88571400","1","1","2015-05-01 00:00:00"
"NIUE","683","0.81428600","1","1","2015-05-01 00:00:00"
"SAMOA","685","0.55714300","1","1","2015-05-01 00:00:00"
"KIRIBATI","686","0.66428600","1","1","2015-05-01 00:00:00"
"NEW CALEDONIA","687","0.21428600","1","1","2015-05-01 00:00:00"
"TUVALU","688","1.21428600","1","1","2015-05-01 00:00:00"
"FRENCH POLYNESIA R.O.C","689","0.19914300","1","1","2015-05-01 00:00:00"
"TOKELAU","690","1.07857100","1","1","2015-05-01 00:00:00"
"MICRONESIA ALL COUNTRY","691","0.20457100","1","1","2015-05-01 00:00:00"
"MARSHALL ISLANDS ALL COUNTRY","692","0.26285700","1","1","2015-05-01 00:00:00"
"KAZAKHSTAN OTHER","771","0.01142900","1","1","2015-05-01 00:00:00"
"KAZAKHSTAN OTHER","772","0.01142900","1","1","2015-05-01 00:00:00"
"KAZAKHSTAN OTHER","776","0.01142900","1","1","2015-05-01 00:00:00"
"RUSSIA MOB-MTS","791","0.04285700","1","1","2015-05-01 00:00:00"
"RUSSIA MOB-MEGAFON","792","0.04285700","1","1","2015-05-01 00:00:00"
"RUSSIA MOB-MEGAFON","793","0.04285700","1","1","2015-05-01 00:00:00"
"RUSSIA MOB-BEELINE","796","0.04285700","1","1","2015-05-01 00:00:00"
"RUSSIA MOB-OTHER","797","0.04285700","1","1","2015-05-01 00:00:00"
"RUSSIA MOB-MTS","798","0.04285700","1","1","2015-05-01 00:00:00"
"JAPAN TOKYO","813","0.02085700","1","1","2015-05-01 00:00:00"
"KOREA (SOUTH) - MOBILE","821","0.01428600","1","1","2015-05-01 00:00:00"
"SOUTH KOREA SEOUL","822","0.01028600","1","1","2015-05-01 00:00:00"
"VIETNAM HANOI","844","0.05142900","1","1","2015-05-01 00:00:00"
"VIETNAM HO CHI MINH","848","0.05142900","1","1","2015-05-01 00:00:00"
"VIETNAM MOBILE","849","0.06257100","1","1","2015-05-01 00:00:00"
"NORTH KOREA OTHER","850","0.58428600","1","1","2015-05-01 00:00:00"
"HONG KONG","852","0.01428600","1","1","2015-05-01 00:00:00"
"MACAU","853","0.06571400","1","1","2015-05-01 00:00:00"
"CAMBODIA","855","0.06428600","1","1","2015-05-01 00:00:00"
"LAOS","856","0.08285700","1","1","2015-05-01 00:00:00"
"INMARSAT-ROC-FIXED","870","10.00000000","1","1","2015-05-01 00:00:00"
"BANGLADESH OTHER","880","0.01928600","1","1","2015-05-01 00:00:00"
"SATELLITE 881-ROC-FIXED","881","14.28571400","1","1","2015-05-01 00:00:00"
"EMSAT R.O.C","882","6.22900000","1","1","2015-05-01 00:00:00"
"SATELLITE 883-ROC-FIXED","883","14.28571400","1","1","2015-05-01 00:00:00"
"TAIWAN OTHER","886","0.01400000","1","1","2015-05-01 00:00:00"
"UNITED NATIONS-OCHA ALL COUNTRY","888","0.14285700","1","1","2015-05-01 00:00:00"
"TURKEY-M OTHR","905","0.16285700","1","1","2015-05-01 00:00:00"
"MYANMAR-M","959","0.07142900","1","1","2015-05-01 00:00:00"
"MALDIVES OTHER","960","0.92714300","1","1","2015-05-01 00:00:00"
"LEBANON R.O.C","961","0.09714300","1","1","2015-05-01 00:00:00"
"JORDAN","962","0.08571400","1","1","2015-05-01 00:00:00"
"SYRIA OTHER","963","0.10128600","1","1","2015-05-01 00:00:00"
"IRAQ","964","0.12857100","1","1","2015-05-01 00:00:00"
"KUWAIT OTHER","965","0.09214300","1","1","2015-05-01 00:00:00"
"SAUDI ARABIA OTHER","966","0.08685700","1","1","2015-05-01 00:00:00"
"YEMEN OTHER","967","0.16642900","1","1","2015-05-01 00:00:00"
"OMAN","968","0.11428600","1","1","2015-05-01 00:00:00"
"NORTH YEMEN","969","0.17428600","1","1","2015-05-01 00:00:00"
"PALESTINE OTHER","970","0.18428600","1","1","2015-05-01 00:00:00"
"UNITED ARAB","971","0.16000000","1","1","2015-05-01 00:00:00"
"ISRAEL","972","0.00257100","1","1","2015-05-01 00:00:00"
"BAHRAIN OTHER","973","0.04528600","1","1","2015-05-01 00:00:00"
"QATAR","974","0.18857100","1","1","2015-05-01 00:00:00"
"BHUTAN OTHER","975","0.06057100","1","1","2015-05-01 00:00:00"
"MONGOLIA OTHER","976","0.02414300","1","1","2015-05-01 00:00:00"
"NEPAL","977","0.11000000","1","1","2015-05-01 00:00:00"
"IRAN-MOBILE","989","0.13571400","1","1","2015-05-01 00:00:00"
"TAJIKSTAN R.O.C","992","0.15028600","1","1","2015-05-01 00:00:00"
"TURKMENISTAN OTHER","993","0.12285700","1","1","2015-05-01 00:00:00"
"AZERBAIJAN","994","0.24085700","1","1","2015-05-01 00:00:00"
"GEORGIA OTHER","995","0.14500000","1","1","2015-05-01 00:00:00"
"KYRGYZSTAN","996","0.14571400","1","1","2015-05-01 00:00:00"
"UZBEKISTAN OTHER","998","0.06142900","1","1","2015-05-01 00:00:00"
"EGYPT VODAFONE MOBILE","2010","0.12657100","1","1","2015-05-01 00:00:00"
"EGYPT-M ETISALAT","2011","0.07657100","1","1","2015-05-01 00:00:00"
"EGYPT MOBINIL MOBILE","2012","0.12642900","1","1","2015-05-01 00:00:00"
"ALGERIA-CAT-FIXED","2131","0.05857100","1","1","2015-05-01 00:00:00"
"ALGERIA-M WATANIYA","2135","0.34428600","1","1","2015-05-01 00:00:00"
"ALGERIA-M-MILIS","2136","0.39571400","1","1","2015-05-01 00:00:00"
"TUNISIA - MOBILE - TUNISIANA","2162","0.47142900","1","1","2015-05-01 00:00:00"
"TUNISIA-M ORANG","2165","0.44571400","1","1","2015-05-01 00:00:00"
"TUNISIA - MOBILE - TUNTEL","2169","0.47142900","1","1","2015-05-01 00:00:00"
"GAMBIA MOBILE","2202","0.67500000","1","1","2015-05-01 00:00:00"
"GAMBIA MOBILE","2203","0.67500000","1","1","2015-05-01 00:00:00"
"GAMBIA MOBILE","2206","0.67500000","1","1","2015-05-01 00:00:00"
"GAMBIA MOBILE","2207","0.67500000","1","1","2015-05-01 00:00:00"
"GAMBIA MOBILE","2209","0.67500000","1","1","2015-05-01 00:00:00"
"MAURITANIA MAURITEL MOBILE","2224","0.43085700","1","1","2015-05-01 00:00:00"
"MALI-M MALITEL","2236","0.34571400","1","1","2015-05-01 00:00:00"
"MALI-M IKATEL","2237","0.34285700","1","1","2015-05-01 00:00:00"
"IVORY COAST - ABIDJAN","2252","0.26457100","1","1","2015-05-01 00:00:00"
"BENIN-OTHER-MOBILE","2296","0.22571400","1","1","2015-05-01 00:00:00"
"LIBERIA - MOBILE - AW LIBERCELL","2314","0.40714300","1","1","2015-05-01 00:00:00"
"LIBERIA COMIUM MOBILE","2315","0.42571400","1","1","2015-05-01 00:00:00"
"LIBERIA LONESTAR MOBILE","2316","0.40357100","1","1","2015-05-01 00:00:00"
"LIBERIA CELLCOM MOBILE","2317","0.41071400","1","1","2015-05-01 00:00:00"
"GHANA VODAFONE FIXED","2333","0.09400000","1","1","2015-05-01 00:00:00"
"NIGERIA LAGOS","2341","0.05500000","1","1","2015-05-01 00:00:00"
"CHAD - MOBILE - AIRTEL","2356","0.64714300","1","1","2015-05-01 00:00:00"
"CHAD SOTEL MOBILE","2357","0.46942900","1","1","2015-05-01 00:00:00"
"CHAD - MOBILE - TIGO","2359","0.64714300","1","1","2015-05-01 00:00:00"
"CAMEROON NEXTTEL MOBILE","2376","0.37857100","1","1","2015-05-01 00:00:00"
"CAMEROON-M MTN","2377","0.12142900","1","1","2015-05-01 00:00:00"
"CAMEROON-M ORANG","2379","0.34000000","1","1","2015-05-01 00:00:00"
"CAPE VERDE MOBILE","2389","0.31700000","1","1","2015-05-01 00:00:00"
"SAO TOME-M","2399","1.11785700","1","1","2015-05-01 00:00:00"
"EQUATORIAL GUINEA - MOBILE","2402","0.24085700","1","1","2015-05-01 00:00:00"
"EQUATORIAL GUINEA - MOBILE","2405","0.24085700","1","1","2015-05-01 00:00:00"
"EQUATORIAL GUINEA - MOBILE","2406","0.24085700","1","1","2015-05-01 00:00:00"
"EQUATORIAL GUINEA - MOBILE","2407","0.24085700","1","1","2015-05-01 00:00:00"
"GABON LIBERTIS MOBILE","2412","0.45114300","1","1","2015-05-01 00:00:00"
"GABON AZUR MOBILE","2413","0.47071400","1","1","2015-05-01 00:00:00"
"GABON AIRTEL MOBILE","2414","0.46100000","1","1","2015-05-01 00:00:00"
"GABON MOOV MOBILE","2415","0.51857100","1","1","2015-05-01 00:00:00"
"GABON LIBERTIS MOBILE","2416","0.45114300","1","1","2015-05-01 00:00:00"
"GABON AIRTEL MOBILE","2417","0.46100000","1","1","2015-05-01 00:00:00"
"GUINEA BISSAU ORANGE MOBILE","2455","0.44642900","1","1","2015-05-01 00:00:00"
"GUINEA BISSAU MTN MOBILE","2456","0.47428600","1","1","2015-05-01 00:00:00"
"GUINEA BISSAU - MOBILE - GUINETEL","2457","0.36285700","1","1","2015-05-01 00:00:00"
"DIEGO GARCIA PREM","2460","1.25714300","1","1","2015-05-01 00:00:00"
"DIEGO GARCIA PREM","2461","1.25714300","1","1","2015-05-01 00:00:00"
"DIEGO GARCIA PREM","2462","1.25714300","1","1","2015-05-01 00:00:00"
"DIEGO GARCIA PREM","2464","1.25714300","1","1","2015-05-01 00:00:00"
"DIEGO GARCIA PREM","2465","1.25714300","1","1","2015-05-01 00:00:00"
"DIEGO GARCIA PREM","2466","1.25714300","1","1","2015-05-01 00:00:00"
"DIEGO GARCIA PREM","2467","1.25714300","1","1","2015-05-01 00:00:00"
"DIEGO GARCIA PREM","2468","1.25714300","1","1","2015-05-01 00:00:00"
"SEYCHELLES - MOBILE - MEDIATECH","2489","0.48571400","1","1","2015-05-01 00:00:00"
"SOMALIA SOMTEL","2527","0.33328600","1","1","2015-05-01 00:00:00"
"SOMALIA SOLTELCO","2528","0.53000000","1","1","2015-05-01 00:00:00"
"UGANDA MTN FIXED & MOBILE","2563","0.34642900","1","1","2015-05-01 00:00:00"
"REUNION ISLAND-OTHER-MOBILE","2626","0.10800000","1","1","2015-05-01 00:00:00"
"LESOTHO-M VODACOM","2665","0.23714300","1","1","2015-05-01 00:00:00"
"LESOTHO-M ECONET","2666","0.24428600","1","1","2015-05-01 00:00:00"
"BOTSWANA MOBILE","2677","0.10685700","1","1","2015-05-01 00:00:00"
"COMOROS MOBILE","2693","0.31257100","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA","2710","0.01714300","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA","2711","0.01714300","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA","2721","0.01714300","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA-M VDACM","2772","0.02642900","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA-M-MTN","2773","0.08571400","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA OTHER MOBILE","2774","0.04142900","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA-M VDACM","2776","0.02642900","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA-M-MTN","2778","0.08571400","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA-M VDACM","2779","0.02642900","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA-M VDACM","2782","0.02642900","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA-M-MTN","2783","0.08571400","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA OTHER MOBILE","2784","0.04142900","1","1","2015-05-01 00:00:00"
"ST. HELENA PREM SRVC","2900","1.17142900","1","1","2015-05-01 00:00:00"
"ERITREA-M","2917","0.22428600","1","1","2015-05-01 00:00:00"
"FAEROE ISLANDS - MOBILE","2985","0.15714300","1","1","2015-05-01 00:00:00"
"GREECE ATHENS","3021","0.00585700","1","1","2015-05-01 00:00:00"
"BELGIUM - MOBILE - PROXIMUS","3247","0.01428600","1","1","2015-05-01 00:00:00"
"BELGIUM-M BASE","3248","0.01785700","1","1","2015-05-01 00:00:00"
"BELGIUM - MOBILE - MOBISTAR","3249","0.01428600","1","1","2015-05-01 00:00:00"
"FRANCE-CLEC","3310","0.00571400","1","1","2015-05-01 00:00:00"
"FRANCE-CLEC","3317","0.00571400","1","1","2015-05-01 00:00:00"
"FRANCE-CLEC","3320","0.00571400","1","1","2015-05-01 00:00:00"
"FRANCE-CLEC","3330","0.00571400","1","1","2015-05-01 00:00:00"
"FRANCE-CLEC","3336","0.00571400","1","1","2015-05-01 00:00:00"
"FRANCE-CLEC","3340","0.00571400","1","1","2015-05-01 00:00:00"
"FRANCE-CLEC","3348","0.00571400","1","1","2015-05-01 00:00:00"
"FRANCE R.O.C","3350","0.00642900","1","1","2015-05-01 00:00:00"
"FRANCE - MOBILE - SFR","3361","0.02857100","1","1","2015-05-01 00:00:00"
"FRANCE - MOBILE - SFR","3362","0.02857100","1","1","2015-05-01 00:00:00"
