Prefix,Effective Date,InternationalRate,Description
321288,2/27/2015,0.02573,Belgium - Telenet Areas
321289,2/27/2015,0.02573,Belgium - Telenet Areas
321325,2/27/2015,0.02573,Belgium - Telenet Areas
321326,2/27/2015,0.02573,Belgium - Telenet Areas
321327,2/27/2015,0.02573,Belgium - Telenet Areas
321328,2/27/2015,0.02573,Belgium - Telenet Areas
321329,2/27/2015,0.02573,Belgium - Telenet Areas
321330,2/27/2015,0.02573,Belgium - Telenet Areas
321388,2/27/2015,0.02573,Belgium - Telenet Areas
321389,2/27/2015,0.02573,Belgium - Telenet Areas
321466,2/27/2015,0.02573,Belgium - Telenet Areas
321470,2/27/2015,0.02573,Belgium - Telenet Areas
321471,2/27/2015,0.02573,Belgium - Telenet Areas
321472,2/27/2015,0.02573,Belgium - Telenet Areas
321473,2/27/2015,0.02573,Belgium - Telenet Areas
321474,2/27/2015,0.02573,Belgium - Telenet Areas
321475,2/27/2015,0.02573,Belgium - Telenet Areas
321489,2/27/2015,0.02573,Belgium - Telenet Areas
321533,2/27/2015,0.02573,Belgium - Telenet Areas
321534,2/27/2015,0.02573,Belgium - Telenet Areas
321535,2/27/2015,0.02573,Belgium - Telenet Areas
321536,2/27/2015,0.02573,Belgium - Telenet Areas
321537,2/27/2015,0.02573,Belgium - Telenet Areas
321563,2/27/2015,0.02573,Belgium - Telenet Areas
321564,2/27/2015,0.02573,Belgium - Telenet Areas
321565,2/27/2015,0.02573,Belgium - Telenet Areas
321566,2/27/2015,0.02573,Belgium - Telenet Areas
321567,2/27/2015,0.02573,Belgium - Telenet Areas
321588,2/27/2015,0.02573,Belgium - Telenet Areas
321589,2/27/2015,0.02573,Belgium - Telenet Areas
321632,2/27/2015,0.02573,Belgium - Telenet Areas
321633,2/27/2015,0.02573,Belgium - Telenet Areas
321634,2/27/2015,0.02573,Belgium - Telenet Areas
321637,2/27/2015,0.02573,Belgium - Telenet Areas
321641,2/27/2015,0.02573,Belgium - Telenet Areas
321643,2/27/2015,0.02573,Belgium - Telenet Areas
321684,2/27/2015,0.02573,Belgium - Telenet Areas
321685,2/27/2015,0.02573,Belgium - Telenet Areas
321686,2/27/2015,0.02573,Belgium - Telenet Areas
321688,2/27/2015,0.02573,Belgium - Telenet Areas
321689,2/27/2015,0.02573,Belgium - Telenet Areas
321690,2/27/2015,0.02573,Belgium - Telenet Areas
321920,2/27/2015,0.02573,Belgium - Telenet Areas
321988,2/27/2015,0.02573,Belgium - Telenet Areas
321989,2/27/2015,0.02573,Belgium - Telenet Areas
322310,2/27/2015,0.02573,Belgium - Telenet Areas
322408,2/27/2015,0.02573,Belgium - Telenet Areas
322418,2/27/2015,0.02573,Belgium - Telenet Areas
322429,2/27/2015,0.02573,Belgium - Telenet Areas
322444,2/27/2015,0.02573,Belgium - Telenet Areas
322473,2/27/2015,0.02573,Belgium - Telenet Areas
322889,2/27/2015,0.02573,Belgium - Telenet Areas
323283,2/27/2015,0.02573,Belgium - Telenet Areas
323288,2/27/2015,0.02573,Belgium - Telenet Areas
323289,2/27/2015,0.02573,Belgium - Telenet Areas
323290,2/27/2015,0.02573,Belgium - Telenet Areas
323292,2/27/2015,0.02573,Belgium - Telenet Areas
323293,2/27/2015,0.02573,Belgium - Telenet Areas
323294,2/27/2015,0.02573,Belgium - Telenet Areas
323295,2/27/2015,0.02573,Belgium - Telenet Areas
323296,2/27/2015,0.02573,Belgium - Telenet Areas
323297,2/27/2015,0.02573,Belgium - Telenet Areas
323298,2/27/2015,0.02573,Belgium - Telenet Areas
323299,2/27/2015,0.02573,Belgium - Telenet Areas
323333,2/27/2015,0.02573,Belgium - Telenet Areas
323336,2/27/2015,0.02573,Belgium - Telenet Areas
323337,2/27/2015,0.02573,Belgium - Telenet Areas
323338,2/27/2015,0.02573,Belgium - Telenet Areas
323344,2/27/2015,0.02573,Belgium - Telenet Areas
323345,2/27/2015,0.02573,Belgium - Telenet Areas
323689,2/27/2015,0.02573,Belgium - Telenet Areas
324244,2/27/2015,0.02573,Belgium - Telenet Areas
324288,2/27/2015,0.02573,Belgium - Telenet Areas
324389,2/27/2015,0.02573,Belgium - Telenet Areas
325064,2/27/2015,0.02573,Belgium - Telenet Areas
325065,2/27/2015,0.02573,Belgium - Telenet Areas
325066,2/27/2015,0.02573,Belgium - Telenet Areas
325067,2/27/2015,0.02573,Belgium - Telenet Areas
325068,2/27/2015,0.02573,Belgium - Telenet Areas
325069,2/27/2015,0.02573,Belgium - Telenet Areas
325070,2/27/2015,0.02573,Belgium - Telenet Areas
325073,2/27/2015,0.02573,Belgium - Telenet Areas
325088,2/27/2015,0.02573,Belgium - Telenet Areas
325090,2/27/2015,0.02573,Belgium - Telenet Areas
325143,2/27/2015,0.02573,Belgium - Telenet Areas
325144,2/27/2015,0.02573,Belgium - Telenet Areas
325145,2/27/2015,0.02573,Belgium - Telenet Areas
325152,2/27/2015,0.02573,Belgium - Telenet Areas
325153,2/27/2015,0.02573,Belgium - Telenet Areas
325160,2/27/2015,0.02573,Belgium - Telenet Areas
325162,2/27/2015,0.02573,Belgium - Telenet Areas
325169,2/27/2015,0.02573,Belgium - Telenet Areas
325180,2/27/2015,0.02573,Belgium - Telenet Areas
325181,2/27/2015,0.02573,Belgium - Telenet Areas
325182,2/27/2015,0.02573,Belgium - Telenet Areas
325188,2/27/2015,0.02573,Belgium - Telenet Areas
325189,2/27/2015,0.02573,Belgium - Telenet Areas
325250,2/27/2015,0.02573,Belgium - Telenet Areas
325251,2/27/2015,0.02573,Belgium - Telenet Areas
325252,2/27/2015,0.02573,Belgium - Telenet Areas
325253,2/27/2015,0.02573,Belgium - Telenet Areas
325254,2/27/2015,0.02573,Belgium - Telenet Areas
325255,2/27/2015,0.02573,Belgium - Telenet Areas
325256,2/27/2015,0.02573,Belgium - Telenet Areas
325257,2/27/2015,0.02573,Belgium - Telenet Areas
325279,2/27/2015,0.02573,Belgium - Telenet Areas
325288,2/27/2015,0.02573,Belgium - Telenet Areas
325338,2/27/2015,0.02573,Belgium - Telenet Areas
325339,2/27/2015,0.02573,Belgium - Telenet Areas
325340,2/27/2015,0.02573,Belgium - Telenet Areas
325341,2/27/2015,0.02573,Belgium - Telenet Areas
325342,2/27/2015,0.02573,Belgium - Telenet Areas
325343,2/27/2015,0.02573,Belgium - Telenet Areas
325369,2/27/2015,0.02573,Belgium - Telenet Areas
325388,2/27/2015,0.02573,Belgium - Telenet Areas
325423,2/27/2015,0.02573,Belgium - Telenet Areas
325424,2/27/2015,0.02573,Belgium - Telenet Areas
325425,2/27/2015,0.02573,Belgium - Telenet Areas
325426,2/27/2015,0.02573,Belgium - Telenet Areas
325480,2/27/2015,0.02573,Belgium - Telenet Areas
325488,2/27/2015,0.02573,Belgium - Telenet Areas
325559,2/27/2015,0.02573,Belgium - Telenet Areas
325560,2/27/2015,0.02573,Belgium - Telenet Areas
325561,2/27/2015,0.02573,Belgium - Telenet Areas
325562,2/27/2015,0.02573,Belgium - Telenet Areas
325580,2/27/2015,0.02573,Belgium - Telenet Areas
325588,2/27/2015,0.02573,Belgium - Telenet Areas
325628,2/27/2015,0.02573,Belgium - Telenet Areas
325629,2/27/2015,0.02573,Belgium - Telenet Areas
325632,2/27/2015,0.02573,Belgium - Telenet Areas
325644,2/27/2015,0.02573,Belgium - Telenet Areas
325647,2/27/2015,0.02573,Belgium - Telenet Areas
325649,2/27/2015,0.02573,Belgium - Telenet Areas
325688,2/27/2015,0.02573,Belgium - Telenet Areas
325690,2/27/2015,0.02573,Belgium - Telenet Areas
325735,2/27/2015,0.02573,Belgium - Telenet Areas
325736,2/27/2015,0.02573,Belgium - Telenet Areas
325737,2/27/2015,0.02573,Belgium - Telenet Areas
325788,2/27/2015,0.02573,Belgium - Telenet Areas
325789,2/27/2015,0.02573,Belgium - Telenet Areas
325859,2/27/2015,0.02573,Belgium - Telenet Areas
325860,2/27/2015,0.02573,Belgium - Telenet Areas
325861,2/27/2015,0.02573,Belgium - Telenet Areas
325862,2/27/2015,0.02573,Belgium - Telenet Areas
